,100_episode_avg,episode_score
episode 126,,0.0
episode_127,0.014000000208616257,
episode 127,,0.0
episode_128,0.014000000208616257,
episode 128,,0.0
episode_129,0.014000000208616257,
episode 129,,0.0
episode_130,0.014000000208616257,
episode 130,,0.0
episode_131,0.014000000208616257,
episode 131,,0.0
episode_132,0.014000000208616257,
episode 132,,0.0
episode_133,0.013000000193715095,
episode 133,,0.0
episode_134,0.014000000208616257,
episode 134,,0.10000000149011612
episode_135,0.014000000208616257,
episode 135,,0.0
episode_136,0.014000000208616257,
episode 136,,0.0
episode_137,0.013000000193715095,
episode 137,,0.0
episode_138,0.012000000178813934,
episode 138,,0.0
episode_139,0.012000000178813934,
episode 139,,0.0
episode_140,0.013000000193715095,
episode 140,,0.10000000149011612
episode_141,0.013000000193715095,
episode 141,,0.0
episode_142,0.013000000193715095,
episode 142,,0.0
episode_143,0.013000000193715095,
episode 143,,0.0
episode_144,0.014000000208616257,
episode 144,,0.10000000149011612
episode_145,0.015000000223517418,
episode 145,,0.10000000149011612
episode_146,0.015000000223517418,
episode 146,,0.0
episode_147,0.015000000223517418,
episode 147,,0.0
episode_148,0.014000000208616257,
episode 148,,0.0
episode_149,0.014000000208616257,
episode 149,,0.0
episode_150,0.014000000208616257,
episode 150,,0.0
episode_151,0.014000000208616257,
episode 151,,0.0
episode_152,0.014000000208616257,
episode 152,,0.0
episode_153,0.014000000208616257,
episode 153,,0.0
episode_154,0.014000000208616257,
episode 154,,0.0
episode_155,0.014000000208616257,
episode 155,,0.0
episode_156,0.014000000208616257,
episode 156,,0.0
episode_157,0.014000000208616257,
episode 157,,0.0
episode_158,0.014000000208616257,
episode 158,,0.0
episode_159,0.014000000208616257,
episode 159,,0.0
episode_160,0.014000000208616257,
episode 160,,0.0
episode_161,0.014000000208616257,
episode 161,,0.0
episode_162,0.014000000208616257,
episode 162,,0.0
episode_163,0.014000000208616257,
episode 163,,0.0
episode_164,0.014000000208616257,
episode 164,,0.0
episode_165,0.014000000208616257,
episode 165,,0.0
episode_166,0.014000000208616257,
episode 166,,0.0
episode_167,0.015000000223517418,
episode 167,,0.10000000149011612
episode_168,0.015000000223517418,
episode 168,,0.0
episode_169,0.015000000223517418,
episode 169,,0.0
episode_170,0.015000000223517418,
episode 170,,0.0
episode_171,0.015000000223517418,
episode 171,,0.0
episode_172,0.015000000223517418,
episode 172,,0.0
episode_173,0.015000000223517418,
episode 173,,0.0
episode_174,0.014000000208616257,
episode 174,,0.0
episode_175,0.014000000208616257,
episode 175,,0.0
episode_176,0.015000000223517418,
episode 176,,0.10000000149011612
episode_177,0.015000000223517418,
episode 177,,0.0
episode_178,0.01600000023841858,
episode 178,,0.10000000149011612
episode_179,0.015000000223517418,
episode 179,,0.0
episode_180,0.015000000223517418,
episode 180,,0.0
episode_181,0.015000000223517418,
episode 181,,0.0
episode_182,0.015000000223517418,
episode 182,,0.0
episode_183,0.014000000208616257,
episode 183,,0.0
episode_184,0.013000000193715095,
episode 184,,0.0
episode_185,0.013000000193715095,
episode 185,,0.0
episode_186,0.013000000193715095,
episode 186,,0.0
episode_187,0.013000000193715095,
episode 187,,0.0
episode_188,0.013000000193715095,
episode 188,,0.0
episode_189,0.013000000193715095,
episode 189,,0.0
episode_190,0.013000000193715095,
episode 190,,0.0
episode_191,0.013000000193715095,
episode 191,,0.0
episode_192,0.013000000193715095,
episode 192,,0.0
episode_193,0.013000000193715095,
episode 193,,0.0
episode_194,0.012000000178813934,
episode 194,,0.0
episode_195,0.012000000178813934,
episode 195,,0.0
episode_196,0.012000000178813934,
episode 196,,0.0
episode_197,0.012000000178813934,
episode 197,,0.0
episode_198,0.012000000178813934,
episode 198,,0.0
episode_199,0.012000000178813934,
episode 199,,0.0
